2host04,1.0,6.666666333333333E-7
2host03,1.0,0.0
2host02,1.0,0.0
2host01,1.0,0.0
host04,1.0,3.333333E-7
host03,1.0,3.333333E-7
host02,1.0,0.0
host01,1.0,0.0
3host02,1.0,0.0
3host01,1.0,0.0
3host04,1.0,0.0
3host03,1.0,0.0
2host04,2.0,0.0
2host03,2.0,0.0
2host02,2.0,0.0
2host01,2.0,0.0
host04,2.0,0.0
host03,2.0,0.0
host02,2.0,0.0
host01,2.0,0.0
3host02,2.0,0.0
3host01,2.0,0.0
3host04,2.0,0.0
3host03,2.0,0.0
2host04,3.0,4.999999E-7
2host03,3.0,0.0
2host02,3.0,0.0
2host01,3.0,0.0
host04,3.0,1.6666663333333334E-7
host03,3.0,3.333332666666667E-7
host02,3.0,0.0
host01,3.0,0.0
3host02,3.0,0.0
3host01,3.0,0.0
3host04,3.0,0.0
3host03,3.0,0.0
2host04,4.1,0.0
2host03,4.1,0.0
2host02,4.1,0.0
2host01,4.1,0.0
host04,4.1,0.0
host03,4.1,0.0
host02,4.1,0.0
host01,4.1,0.0
3host02,4.1,0.0
3host01,4.1,0.0
3host04,4.1,0.0
3host03,4.1,0.0
2host04,5.1,1.6666663333333334E-7
2host03,5.1,0.0
2host02,5.1,0.0
2host01,5.1,0.0
host04,5.1,0.0
host03,5.1,1.6666663333333334E-7
host02,5.1,0.0
host01,5.1,0.0
3host02,5.1,0.0
3host01,5.1,0.0
3host04,5.1,0.0
3host03,5.1,0.0
